treat,hra_c_yr1,male,age50,age37_49,white,sickleave_0815_0716,sickleave_0816_0717,sickleave_0816_0119,sickdays_eligible_0815_0716,sickdays_eligible_0816_0717,sickdays_eligible_0816_0119,gym_0815_0716,gym_0816_0717,gym_0816_0119,promotion_0616_0717,promotion_0616_0119,titleChange_0616_0717,titleChange_0616_0119,salaryRaise_0616_0717,salaryRaise_0616_0119,salary_0616,terminated_0717,terminated_0119,prod_index_yr0,prod_index_yr1,prod_index_yr2
0,,0,1,0,1,6,4.5,2.346429,365,365,700,0,0,0,0,,,,,,,0,1,.1706948,.8161809,
1,0,1,1,0,1,0,0,0,365,365,899,0,0,0,0,1,,,,,,0,0,2.994827,1.359485,2.694123
1,0,0,0,1,1,0,0,0,115,365,899,0,0,0,0,0,,,,,,0,0,2.391218,.1677733,.1116451
1,1,0,0,0,1,2.5,7,3.04505,365,365,899,0,0,0,1,1,,,,,,0,0,-1.565809,2.930231,1.969621
1,0,1,0,1,1,13,15.4375,13.34747,365,365,899,0,0,0,0,0,,,,,,0,0,-1.839031,-1.027558,-1.334508
1,0,0,0,0,1,9.3,12.43875,9.706097,365,365,899,0,1,3.2,0,1,,,,,,0,0,-1.771802,-3.084201,-2.08679
1,1,0,0,0,1,1.5,1,.8120133,365,365,899,0,0,0,0,0,,,,,,0,0,.4897156,-.1144939,-.3319385
1,1,0,1,0,0,13.5,7,3.451057,365,365,899,0,0,0,0,1,,,,,,0,0,1.205806,.7491264,2.372398
0,,0,0,1,1,13.40625,8.90625,8.52614,365,365,899,0,0,0,0,0,,,,,,0,0,-1.090503,-.3592903,-.5391681
1,1,1,0,0,1,2.5,6.625,3.469333,365,365,697,193,145,111.6,0,,,,,,,0,1,-.4377453,-1.666263,
1,0,0,1,0,1,.5,0,0,365,60,60,0,0,0,,,,,,,,1,1,.3397081,,
0,,0,0,1,1,6.5,0,0,365,291,291,0,0,0,,,,,,,,1,1,-1.717435,,
0,,0,0,0,1,0,3.5,3.636364,365,365,803,10,0,0,0,,,,,,,0,1,1.511212,-2.848922,
0,,0,1,0,1,10.5,12.375,7.663376,365,365,899,24,0,0,0,0,,,,,,0,0,-3.032511,-2.425615,-1.935159
1,0,1,0,1,1,20.5,8.5,5.278087,365,365,899,0,0,0,1,1,,,,,,0,0,-1.972286,-.2737222,-1.44981
1,1,0,0,0,0,11.7625,11.6625,12.1802,365,365,899,0,0,0,0,0,,,,,,0,0,-1.099806,-2.182071,-2.525831
0,,1,0,0,1,10,21.5,14.13918,365,365,899,0,0,0,0,0,,,,,,0,0,-2.773651,,
1,0,0,1,0,1,11.1125,12.025,11.98735,365,365,899,0,0,0,0,0,,,,,,0,0,-2.122053,,
1,1,1,0,1,1,18.25,9.5,13.04246,365,365,899,0,0,0,0,0,,,,,,0,0,-1.438785,-2.235738,-2.776208
1,1,1,0,0,1,4,14.875,9.921788,365,365,899,0,0,0,1,1,,,,,,0,0,-1.801426,-.4770653,-1.686819
1,1,1,0,0,1,6,0,0,365,365,899,110,142,156,0,0,,,,,,0,0,1.744896,,
0,,0,0,1,1,6.49891,13.84125,51.39943,258,365,899,0,0,0,1,1,,,,,,0,0,.0383833,1.24501,-.2071539
0,,1,0,0,1,0,0,0,45,365,899,0,0,0,,,,,,,,0,0,,,
1,1,0,1,0,1,2.25,8.303079,8.303079,365,272,272,166,131,52.8,,,,,,,,1,1,-.6532036,,
1,1,1,0,0,1,13.5,15,11.16518,365,365,899,3,1,.8,0,1,,,,,,0,0,-1.571182,-.5052815,.826085
0,,1,0,0,1,7.5,7.349634,7.349634,365,239,239,1,0,0,,,,,,,,1,1,-2.703681,,
1,0,0,0,0,1,11.25,11.71875,9.515781,365,365,899,0,0,0,1,1,,,,,,0,0,-.8359593,1.608301,.603981
1,0,0,0,0,1,6.9375,15.975,13.5048,365,365,899,0,0,0,1,1,,,,,,0,0,-.9119281,.3959736,-.5854151
0,,0,0,0,1,0,0,0,13,365,899,0,23,14.4,,,,,,,,0,0,,,
0,,1,1,0,1,0,0,0,365,365,899,22,55,53.6,0,0,,,,,,0,0,2.494421,.256149,.025359
0,,0,1,0,0,11.8125,13.125,12.91609,365,365,899,0,0,0,0,0,,,,,,0,0,-.1540793,.3064963,.3686154
0,,1,0,0,0,0,0,0,365,365,399,0,0,0,0,,,,,,,0,1,-.1715959,-1.14051,
1,1,0,1,0,0,15,0,0,365,365,899,0,3,1.2,,0,,,,,,0,0,-2.24264,,-2.355208
1,1,0,1,0,1,2,0,2.233037,365,365,899,0,0,0,0,0,,,,,,0,0,.8680001,-.3628525,-.5818371
1,0,1,0,1,1,10,14,13.39822,365,365,899,19,5,2,0,0,,,,,,0,0,-1.434141,.1699342,.1114351
0,,1,0,1,0,5.225,4.3,9.627433,365,365,899,0,0,0,0,0,,,,,,0,0,1.064849,,
1,1,0,0,1,1,4.5,4,2.842047,365,365,899,0,0,.8,0,1,,,,,,0,0,-.2331609,.584585,1.814517
1,0,0,0,1,1,11.3125,11.25,11.21593,365,365,899,0,0,0,0,0,,,,,,0,0,-1.075453,,
1,1,0,0,0,0,11.85,11.4625,13.4439,365,365,899,0,0,.4,0,1,,,,,,0,0,.5406334,.0634729,1.173645
1,0,0,0,1,1,18,15,9.338154,365,365,899,0,0,0,0,0,,,,,,0,0,-.4041417,,
1,0,0,0,0,1,0,0,0,365,365,713,0,0,0,0,,,,,,,0,1,.331404,,
1,0,0,0,0,1,2.9,2.4375,2.994299,365,365,899,0,0,0,1,1,,,,,,0,0,-.4383259,2.128492,1.147558
0,,0,0,0,1,0,2,.8120133,300,365,899,0,0,0,0,0,,,,,,0,0,.6292802,1.107236,.9166797
0,,0,1,0,1,.5,1,1.421023,365,365,899,257,274,270,0,0,,,,,,0,0,1.789593,.5271168,.3931394
0,,0,1,0,1,12,10.5,6.419981,365,365,899,0,0,0,0,0,,,,,,0,0,-.9719895,-.9521812,-1.253998
1,0,0,0,1,1,5.8,9.81875,8.513453,365,365,899,0,0,0,0,0,,,,,,0,0,-1.563968,-1.511413,-1.855663
1,1,0,0,1,0,7.5,4,4.87208,365,365,899,0,1,.4,0,0,,,,,,0,0,-.5341846,-.1373162,-.3606556
0,,0,0,0,1,6,4,5.278087,365,365,899,0,0,0,1,1,,,,,,0,0,.1120458,2.144684,1.229524
0,,1,0,0,1,2.81,3.5,6.293103,365,365,899,0,0,2.4,,,,,,,,0,0,,,
1,0,1,0,1,0,0,0,0,365,365,899,0,0,0,1,1,,,,,,0,0,1.882031,3.103887,2.192579
1,0,0,0,1,0,.46875,0,.9515781,365,365,899,0,0,0,0,0,,,,,,0,0,-.6644122,.2635523,.0586994
1,1,1,1,0,1,0,0,0,365,365,899,0,0,0,0,0,,,,,,0,0,1.636851,.3510446,.2487158
0,,0,0,1,1,1.5,7.5,4.87208,365,365,899,0,0,0,0,0,,,,,,0,0,1.040869,.6507541,.5843257
1,1,0,0,0,0,1,0,0,365,365,899,0,0,0,0,0,,,,,,0,0,-1.172913,-1.150611,-1.498702
1,0,0,0,0,1,0,0,0,342,340,340,0,0,0,,,,,,,,1,1,-.5295624,,
0,,1,0,1,1,1.5,4,2.842047,365,365,899,47,3,8.4,0,0,,,,,,0,0,.6798779,1.317533,.7214299
0,,1,0,1,1,0,0,0,365,365,899,139,90,122.8,1,1,,,,,,0,0,-.0218073,,
1,1,0,1,0,1,0,0,0,365,365,899,0,0,0,,,,,,,,0,0,-.6684356,,
0,,1,1,0,1,7,.5,1.21802,365,365,899,0,0,0,0,0,,,,,,0,0,-.6490703,-.2251962,-.4073578
0,,1,0,1,1,4,0,0,365,14,14,51,1,.4,,,,,,,,1,1,.4604168,,
1,0,1,0,0,0,0,0,0,365,75,75,75,2,.8,,,,,,,,1,1,1.031505,,
0,,0,0,1,0,0,4,2.43604,365,365,899,0,0,0,0,0,,,,,,0,0,-.1194706,1.321651,1.280692
0,,0,0,0,0,0,5,2.030033,83,365,899,0,0,0,0,1,,,,,,0,0,1.326245,-2.488539,-1.69906
0,,1,0,1,1,3.5,10.5,4.466074,365,365,899,0,0,0,0,0,,,,,,0,0,.9297872,-.8248861,-1.052159
1,0,1,0,0,1,11.8375,10.9125,12.65726,365,365,899,0,0,0,0,0,,,,,,0,0,-2.89223,-2.4799,-3.077881
0,,0,0,0,1,5.5,0,0,365,186,186,0,0,0,,,,,,,,1,1,-.6471978,,
0,,0,0,1,1,.5,2,1.421023,365,365,899,0,0,0,0,0,,,,,,0,0,.5693848,-.245661,-.5514012
1,0,1,1,0,1,1,2,1.092814,365,365,668,0,0,0,0,,,,,,,0,1,.8527261,-2.311989,
1,1,0,1,0,1,0,0,0,365,365,899,0,0,0,0,0,,,,,,0,0,2.044141,.4489822,.5979641
0,,1,0,1,0,0,0,0,365,365,899,0,0,1.2,0,,,,,,,0,0,2.721716,-.1736798,
1,0,1,1,0,1,16.40625,62.21591,62.21591,365,22,22,0,0,0,,,,,,,,1,1,-.0729247,,
1,0,0,0,1,1,12,6.5,6.902113,365,365,899,0,0,0,0,1,,,,,,0,0,-.8455237,-2.119645,-1.054332
1,1,0,0,0,0,0,0,0,365,365,899,0,0,0,0,0,,,,,,0,0,-.6645967,-.3606095,-.8040424
0,,1,0,1,1,3,0,.4060067,365,365,899,11,13,5.2,0,0,,,,,,0,0,-.2743381,,
1,0,1,0,0,0,0,0,0,365,365,440,0,0,0,0,,,,,,,0,1,.1408293,,
0,,0,0,0,1,5.6,13.05,16.68476,365,365,548,0,0,0,0,,,,,,,0,1,-2.5797,-3.454161,
1,1,1,0,1,1,9.6,12.9125,7.835928,365,365,899,0,0,0,0,1,,,,,,0,0,-.9193718,-2.621609,-1.647506
1,0,0,1,0,1,32.505,0,0,365,8,8,0,0,0,,,,,,,,1,1,-3.724425,,
1,0,1,1,0,1,0,0,0,350,365,899,0,0,0,0,0,,,,,,0,0,2.394676,.7436657,.7836547
0,,0,1,0,0,10,9.4125,9.523902,365,365,899,0,0,0,0,0,,,,,,0,0,-1.980199,.1908011,.1623554
1,0,0,1,0,1,10.6,11.8125,12.2817,365,365,899,0,0,0,0,0,,,,,,0,0,-.9051972,.0787397,-.0134578
1,1,1,0,0,1,2,0,.2030033,365,365,899,33,63,61.6,0,0,,,,,,0,0,-.9587332,-.8259256,-1.060711
1,1,0,0,1,1,1,2,1.21802,365,365,899,0,0,0,0,0,,,,,,0,0,1.637748,1.448928,1.386077
1,1,1,0,1,0,6.5625,9.3125,9.160525,365,365,899,0,0,0,0,0,,,,,,0,0,1.022996,.3255633,.1119968
0,,0,1,0,1,22.78125,12,14.92074,365,365,899,37,2,.8,0,0,,,,,,0,0,-1.441688,.0944561,-.0370096
